Unnamed: 0,transaction_id,description,trnref,dob_new,price_new,customer_type,age_group,item_type,class_name,subclass_name,nova,standard_uom,uom_criteria,conversion,price_uom,class_name_uom
57,001_003-37,C.I.L PISHORI RICE 1KG,37,,225.0,No-Loyalty card,,Food Item,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,KGS,1KG,1.0,225.0,CEREAL GRAINS (KGS)
58,001_003-37,BUTALI BROWN SUGAR 1KG PKT,37,,105.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,1KG,1.0,105.0,SUGAR (KGS)
59,001_003-39,AVENA VEG OIL 1LTR,39,,179.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,1LTR,1.0,179.0,COOKING OIL (LTRS)
60,001_003-39,JOGOO MAIZE MEAL 2KG,39,,110.0,No-Loyalty card,,Food Item,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,55.0,MAIZE/CORN FLOUR (KGS)
61,001_003-39,BLUE BAND 250G,39,,100.0,No-Loyalty card,,Food Item,MARGARINE,MARGARINE,Ultra-processed foods,KGS,250G,0.25,400.0,MARGARINE (KGS)
62,001_003-39,BUTALI BROWN SUGAR 1KG PKT,39,,105.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,1KG,1.0,105.0,SUGAR (KGS)
63,001_003-39,SODA SCHWEPPES/KREST BITTER LEMON 500ML PL,39,,60.0,No-Loyalty card,,Food Item,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods,LTRS,500ML,0.5,120.0,SODAS AND CARBONATED DRINKS (LTRS)
64,001_003-39,MELVINS GINGER TEA 100G,39,,56.0,No-Loyalty card,,Food Item,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods,KGS,100G,0.1,560.0,TEA (KGS)
65,001_003-40,KIMBO PREMIUM OIL 5L,40,,1075.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,5L,5.0,215.0,COOKING OIL (LTRS)
66,001_003-40,SUPA LOAF BUTTER TOAST 400G,40,,49.0,No-Loyalty card,,Food Item,BREADS,WHITE BREAD,Ultra-processed foods,KGS,400G,0.4,122.5,BREADS (KGS)
67,001_003-41,RINA VEGE OIL 10L,41,,1454.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,10L,10.0,145.4,COOKING OIL (LTRS)
68,001_003-41,BRANDED SUGAR 1KG BROWN,41,,110.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,1KG,1.0,110.0,SUGAR (KGS)
69,001_003-41,BRANDED SUGAR 2KG BROWN,41,,210.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,2KG,2.0,105.0,SUGAR (KGS)
70,001_003-42,SNAK IT BIKIS CHEESE 30G,42,,32.0,No-Loyalty card,,Food Item,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods,KGS,30G,0.03,1066.6666666666667,SWEET AND SAVOURY SNACKS (KGS)
71,001_003-43,JOGOO MAIZE MEAL 2KG,43,,110.0,No-Loyalty card,,Food Item,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,55.0,MAIZE/CORN FLOUR (KGS)
72,001_003-43,KENSALT TABLE SALT 500G,43,,17.0,No-Loyalty card,,Food Item,SALT,TABLE SALT,Processed Culinary Ingredients,KGS,500G,0.5,34.0,SALT (KGS)
73,001_003-43,KABRAS SUGAR 500G WHITE,43,,65.0,No-Loyalty card,,Food Item,SUGAR,WHITE SUGAR,Processed Culinary Ingredients,KGS,500G,0.5,130.0,SUGAR (KGS)
74,001_003-44,NDOVU HOME BAKING 2KG,44,,114.0,No-Loyalty card,,Food Item,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,57.0,WHEAT FLOUR (KGS)
75,001_003-44,BUTALI BROWN SUGAR 1KG PKT,44,,105.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,1KG,1.0,105.0,SUGAR (KGS)
76,001_003-46,PIKA VEGE OIL 5L,46,,764.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,5L,5.0,152.8,COOKING OIL (LTRS)
77,001_003-46,MEGA SPAGHETTI 400G,46,,45.0,No-Loyalty card,,Food Item,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods,KGS,400G,0.4,112.5,PASTAS (KGS)
78,001_003-46,RANEE STANDARD SPAGHETTI 400G,46,,45.0,No-Loyalty card,,Food Item,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods,KGS,400G,0.4,112.5,PASTAS (KGS)
79,001_003-47,KINANGOP FRESH MILK 500ML POUCH,47,,42.0,No-Loyalty card,,Food Item,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods,LTRS,500ML,0.5,84.0,WHOLE MILK (LTRS)
80,001_003-47,KENSALT TABLE SALT 500G,47,,17.0,No-Loyalty card,,Food Item,SALT,TABLE SALT,Processed Culinary Ingredients,KGS,500G,0.5,34.0,SALT (KGS)
81,001_003-49,DL HOT DOG PLAIN PC,49,,100.0,No-Loyalty card,,Food Item,FAST FOODS,PRE-PREPARED HOT DOG,Ultra-processed foods,PCS,,,100.0,FAST FOODS (PCS)
82,001_003-49,DL CHICKEN BURGAR PC,49,,150.0,No-Loyalty card,,Food Item,FAST FOODS,PRE-PREPARED CHICKEN BURGER,Ultra-processed foods,PCS,,,150.0,FAST FOODS (PCS)
83,001_003-52,JOY SUPER BITES MANDAZI 180G,52,,37.0,No-Loyalty card,,Food Item,PASTRIES,PASTRIES - MANDAZI,Ultra-processed foods,KGS,180G,0.18,205.5555555555556,PASTRIES (KGS)
84,001_003-53,FRY MATE 500G REFILL,53,,63.0,No-Loyalty card,,Food Item,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients,KGS,500G,0.5,126.0,COOKING FAT (KGS)
85,001_003-53,AJAB ATTA MARK 2KG,53,,118.0,No-Loyalty card,,Food Item,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods,KGS,2KG,2.0,59.0,WHEAT FLOUR (KGS)
86,001_003-54,AVENA VEG OIL 5LTR,54,,780.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,5LTR,5.0,156.0,COOKING OIL (LTRS)
87,001_003-54,WHITE BREAD 600G,54,,59.0,No-Loyalty card,,Food Item,BREADS,WHITE BREAD,Ultra-processed foods,KGS,600G,0.6,98.33333333333334,BREADS (KGS)
88,001_003-55,FRESH FRI 2L,55,,335.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,2L,2.0,167.5,COOKING OIL (LTRS)
89,001_003-55,FRESHA ESL WHOLE MILK 500ML,55,,43.0,No-Loyalty card,,Food Item,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods,LTRS,500ML,0.5,86.0,WHOLE MILK (LTRS)
90,001_003-55,PEMBE WHEAT 2KG,55,,107.0,No-Loyalty card,,Food Item,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,53.5,WHEAT FLOUR (KGS)
91,001_003-55,AJAB MAIZE MEAL 2KG,55,,112.0,No-Loyalty card,,Food Item,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,56.0,MAIZE/CORN FLOUR (KGS)
92,001_003-55,GOLDEN LONG GRAIN RICE 1KG,55,,109.0,No-Loyalty card,,Food Item,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,KGS,1KG,1.0,109.0,CEREAL GRAINS (KGS)
